,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
0,8779-QRDMV,1,Male,78,No,Yes,No,No,0
1,7495-OOKFY,1,Female,74,No,Yes,Yes,Yes,1
2,1658-BYGOY,1,Male,71,No,Yes,No,Yes,3
3,4598-XLKNJ,1,Female,78,No,Yes,Yes,Yes,1
4,4846-WHAFZ,1,Female,80,No,Yes,Yes,Yes,1
5,4412-YLTKF,1,Female,72,No,Yes,No,Yes,1
6,0390-DCFDQ,1,Female,76,No,Yes,Yes,Yes,2
7,3445-HXXGF,1,Male,66,No,Yes,Yes,No,0
8,2656-FMOKZ,1,Female,70,No,Yes,No,Yes,2
9,2070-FNEXE,1,Female,77,No,Yes,No,Yes,2
10,0094-OIFMO,1,Female,78,No,Yes,No,Yes,1
11,9947-OTFQU,1,Male,65,No,Yes,No,No,0
12,9514-JDSKI,1,Male,77,No,Yes,Yes,No,0
13,7273-TEFQD,1,Male,67,No,Yes,No,No,0
14,3606-TWKGI,1,Male,68,No,Yes,No,No,0
15,4385-GZQXV,1,Female,68,No,Yes,No,No,0
16,3488-PGMQJ,1,Male,66,No,Yes,No,No,0
17,7534-BFESC,1,Male,69,No,Yes,No,No,0
18,8098-LLAZX,1,Female,74,No,Yes,No,No,0
19,0265-EDXBD,1,Male,76,No,Yes,Yes,No,0
20,2840-XANRC,1,Male,77,No,Yes,Yes,No,0
21,5020-ZSTTY,1,Female,70,No,Yes,No,No,0
22,5804-LEPIM,1,Female,74,No,Yes,No,No,0
23,0623-IIHUG,1,Female,77,No,Yes,No,No,0
24,9057-MSWCO,1,Male,71,No,Yes,Yes,No,0
25,4895-TMWIR,1,Male,79,No,Yes,Yes,No,0
26,0533-BNWKF,1,Female,66,No,Yes,Yes,No,0
27,0334-GDDSO,1,Male,77,No,Yes,No,No,0
28,5564-NEMQO,1,Female,80,No,Yes,No,No,0
29,6235-VDHOM,1,Female,77,No,Yes,No,No,0
30,5609-CEBID,1,Female,77,No,Yes,No,No,0
31,5956-VKDTT,1,Female,72,No,Yes,Yes,No,0
32,0257-ZESQC,1,Female,80,No,Yes,Yes,No,0
33,2865-TCHJW,1,Female,74,No,Yes,No,No,0
34,5192-EBGOV,1,Female,68,No,Yes,No,No,0
35,3419-SNJJD,1,Female,78,No,Yes,Yes,No,0
36,4554-YGZIH,1,Male,75,No,Yes,Yes,No,0
37,5099-BAILX,1,Male,77,No,Yes,Yes,No,0
38,4913-EHYUI,1,Male,80,No,Yes,Yes,No,0
39,1626-ERCMM,1,Male,75,No,Yes,Yes,No,0
40,5644-PDMZC,1,Female,69,No,Yes,No,No,0
41,4160-AMJTL,1,Female,74,No,Yes,No,No,0
42,0823-HSCDJ,1,Male,76,No,Yes,No,No,0
43,0067-DKWBL,1,Male,69,No,Yes,No,No,0
44,5244-IRFIH,1,Male,72,No,Yes,Yes,No,0
45,2684-EIWEO,1,Female,69,No,Yes,No,No,0
46,6683-VLCTZ,1,Male,73,No,Yes,No,No,0
47,0691-IFBQW,1,Female,65,No,Yes,No,No,0
48,3643-AHCFP,1,Male,74,No,Yes,Yes,No,0
49,9231-ZJYAM,1,Female,65,No,Yes,No,No,0
