Unnamed: 0_demographics,Customer ID,Count_demographics,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Unnamed: 0_location,Location ID,Count_location,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Unnamed: 0,Service ID,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Unnamed: 0_status,Status ID,Count_status,Quarter_status,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Unnamed: 0_customerc,LoyaltyID,Senior Citizen_customerc,Partner,Dependents_customerc,Tenure,Phone Service_customerc,Multiple Lines_customerc,Internet Service_customerc,Online Security_customerc,Online Backup_customerc,Device Protection,Tech Support,Streaming TV_customerc,Streaming Movies_customerc,Contract_customerc,Paperless Billing_customerc,Payment Method_customerc,Monthly Charges,Total Charges_customerc,Churn
4006,0002-ORFBO,1,Female,37,No,No,Yes,No,0,4006,FUGQUJ6597,1,United States,California,Frazier Park,93225,"34.827662, -118.999073",34.827662,-118.999073,4006,MJBAXYDAX5462,1,Q3,Yes,2,9,,Yes,42.39,No,Yes,Cable,16,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0,381.51,974.81,4006,UAAWUJ8685,1,Q3,3,Stayed,No,0,65,2205,,,2307,200315,No,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,No
4788,0003-MKNFE,1,Male,46,No,No,No,No,0,4788,SIZFEJ5344,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,4788,NICWXTOGG9486,1,Q3,No,0,9,,Yes,10.69,Yes,Yes,Cable,10,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,59.9,542.4,38.33,10,96.21,610.28,4788,URNYXG9268,1,Q3,5,Stayed,No,0,66,5414,,,3488,278817,No,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,542.4,No
1901,0004-TLHLJ,1,Male,50,No,No,No,No,0,1901,RZDAXJ8786,1,United States,California,Costa Mesa,92627,"33.645672, -117.922613",33.645672,-117.922613,1901,DCSKWRXAI3251,1,Q3,No,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.4500000000001,1901,LOOUCZ6174,1,Q3,1,Churned,Yes,1,71,4479,Competitor,Competitor had better devices,3845,192691,No,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,280.85,Yes
395,0011-IGKFF,1,Male,78,No,Yes,Yes,No,0,395,MGKGVM9555,1,United States,California,Martinez,94553,"38.014457, -122.115432",38.014457,-122.115432,395,ZEOATALAE9483,1,Q3,Yes,1,13,Offer D,Yes,27.82,No,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,395,HDYLOW1467,1,Q3,1,Churned,Yes,1,91,3714,Dissatisfaction,Product dissatisfaction,5931,318845,Yes,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,1237.85,Yes
368,0013-EXCHZ,1,Female,75,No,Yes,Yes,No,0,368,FJLSME1564,1,United States,California,Camarillo,93010,"34.227846, -119.079903",34.227846,-119.079903,368,MVMZRJAHU9423,1,Q3,Yes,3,3,,Yes,7.38,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.53999999999996,368,EICWUI5128,1,Q3,1,Churned,Yes,1,68,3464,Dissatisfaction,Network reliability,5569,508649,Yes,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,267.4,Yes
3309,0013-MHZWF,1,Female,23,Yes,No,No,Yes,3,3309,NYMCBY2716,1,United States,California,Midpines,95345,"37.581496, -119.972762",37.581496,-119.972762,3309,SARJIBODS2917,1,Q3,No,0,9,Offer E,Yes,16.77,No,Yes,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0,150.93,722.3800000000001,3309,SLPFEF6753,1,Q3,3,Stayed,No,0,55,5108,,,1207,203243,No,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,No
707,0013-SMEOE,1,Female,67,No,Yes,Yes,No,0,707,QBJBNQ3689,1,United States,California,Lompoc,93437,"34.757477, -120.550507",34.757477,-120.550507,707,BYMNKFLSF8413,1,Q3,Yes,1,71,Offer A,Yes,9.96,No,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0,707.1600000000001,8611.41,707,EJDHDK5564,1,Q3,3,Stayed,No,0,26,5011,,,2375,152486,Yes,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,No
4225,0014-BMAQU,1,Male,52,No,No,Yes,No,0,4225,SCDYTU5713,1,United States,California,Napa,94558,"38.489789, -122.27011",38.489789,-122.27011,4225,EUGJNOXNZ6148,1,Q3,Yes,8,63,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,20,816.48,6214.280000000001,4225,PKLDMJ4593,1,Q3,4,Stayed,No,0,49,4604,,,2630,248461,No,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.65,5377.8,No
695,0015-UOCOJ,1,Female,68,No,Yes,No,No,0,695,GSECKT6414,1,United States,California,Simi Valley,93063,"34.296813, -118.685703",34.296813,-118.685703,695,DALJHCGBO3161,1,Q3,No,0,7,Offer E,Yes,10.53,No,Yes,DSL,21,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,695,XONJKB7297,1,Q3,3,Stayed,No,0,34,5525,,,2278,997780,Yes,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,No
5575,0016-QLJIS,1,Female,43,No,No,Yes,Yes,1,5575,ATYNIU1389,1,United States,California,Sheridan,95681,"38.984756, -121.345074",38.984756,-121.345074,5575,PYQASYDHS9536,1,Q3,Yes,3,65,,Yes,28.46,Yes,Yes,Cable,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0,1849.9,7807.799999999999,5575,GZRKYX5821,1,Q3,3,Stayed,No,0,25,5509,,,4714,990233,No,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,No
