Unnamed: 0,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Location ID,City,Zip Code,Lat Long,Latitude,Longitude,Service ID,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Status ID,Satisfaction Score,Churn Value,Churn Score,CLTV,LoyaltyID,Partner,Tenure,Monthly Charges,Churn,Country_United States,State_California,Quarter_Q3,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Customer Status_Churned,Customer Status_Joined,Customer Status_Stayed,Churn Category_Attitude,Churn Category_Competitor,Churn Category_Dissatisfaction,Churn Category_Other,Churn Category_Price,Churn Reason_Attitude of service provider,Churn Reason_Attitude of support person,Churn Reason_Competitor had better devices,Churn Reason_Competitor made better offer,Churn Reason_Competitor offered higher download speeds,Churn Reason_Competitor offered more data,Churn Reason_Deceased,Churn Reason_Don't know,Churn Reason_Extra data charges,Churn Reason_Lack of affordable download/upload speed,Churn Reason_Lack of self-service on Website,Churn Reason_Limited range of services,Churn Reason_Long distance charges,Churn Reason_Moved,Churn Reason_Network reliability,Churn Reason_Poor expertise of online support,Churn Reason_Poor expertise of phone support,Churn Reason_Price too high,Churn Reason_Product dissatisfaction,Churn Reason_Service dissatisfaction,Device Protection_No,Device Protection_No internet service,Device Protection_Yes,Tech Support_No,Tech Support_No internet service,Tech Support_Yes
4006,0002-ORFBO,1,0,37,0,0,1,0,0,FUGQUJ6597,Frazier Park,93225,"34.827662, -118.999073",34.827662,-118.999073,MJBAXYDAX5462,1,2,9,1,42.39,0,1,16,0,1,0,1,1,0,0,1,1,65.6,593.3,0.0,0,381.51,974.81,UAAWUJ8685,3,0,65,2205,200315,1,9,65.6,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4788,0003-MKNFE,1,1,46,0,0,0,0,0,SIZFEJ5344,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,NICWXTOGG9486,0,0,9,1,10.69,1,1,10,0,0,0,0,0,1,1,0,0,59.9,542.4,38.33,10,96.21,610.28,URNYXG9268,5,0,66,5414,278817,0,9,59.9,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1901,0004-TLHLJ,1,1,50,0,0,0,0,0,RZDAXJ8786,Costa Mesa,92627,"33.645672, -117.922613",33.645672,-117.922613,DCSKWRXAI3251,0,0,4,1,33.65,0,1,30,0,0,1,0,0,0,0,1,1,73.9,280.85,0.0,0,134.6,415.4500000000001,LOOUCZ6174,1,1,71,4479,192691,0,4,73.9,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
395,0011-IGKFF,1,1,78,0,1,1,0,0,MGKGVM9555,Martinez,94553,"38.014457, -122.115432",38.014457,-122.115432,ZEOATALAE9483,1,1,13,1,27.82,0,1,4,0,1,1,0,1,1,0,1,1,98.0,1237.85,0.0,0,361.66,1599.51,HDYLOW1467,1,1,91,3714,318845,1,13,98.0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
368,0013-EXCHZ,1,0,75,0,1,1,0,0,FJLSME1564,Camarillo,93010,"34.227846, -119.079903",34.227846,-119.079903,MVMZRJAHU9423,1,3,3,1,7.38,0,1,11,0,0,0,1,1,0,0,1,1,83.9,267.4,0.0,0,22.14,289.53999999999996,EICWUI5128,1,1,68,3464,508649,1,3,83.9,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
3309,0013-MHZWF,1,0,23,1,0,0,1,3,NYMCBY2716,Midpines,95345,"37.581496, -119.972762",37.581496,-119.972762,SARJIBODS2917,0,0,9,1,16.77,0,1,73,0,0,0,1,1,1,1,1,1,69.4,571.45,0.0,0,150.93,722.3800000000001,SLPFEF6753,3,0,55,5108,203243,0,9,69.4,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
707,0013-SMEOE,1,0,67,0,1,1,0,0,QBJBNQ3689,Lompoc,93437,"34.757477, -120.550507",34.757477,-120.550507,BYMNKFLSF8413,1,1,71,1,9.96,0,1,14,1,1,1,1,1,1,1,1,1,109.7,7904.25,0.0,0,707.1600000000001,8611.41,EJDHDK5564,3,0,26,5011,152486,1,71,109.7,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4225,0014-BMAQU,1,1,52,0,0,1,0,0,SCDYTU5713,Napa,94558,"38.489789, -122.27011",38.489789,-122.27011,EUGJNOXNZ6148,1,8,63,1,12.96,1,1,7,1,0,0,1,0,0,0,0,1,84.65,5377.8,0.0,20,816.48,6214.280000000001,PKLDMJ4593,4,0,49,4604,248461,1,63,84.65,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
695,0015-UOCOJ,1,0,68,0,1,0,0,0,GSECKT6414,Simi Valley,93063,"34.296813, -118.685703",34.296813,-118.685703,DALJHCGBO3161,0,0,7,1,10.53,0,1,21,1,0,0,0,0,0,0,1,1,48.2,340.35,0.0,0,73.71,414.06,XONJKB7297,3,0,34,5525,997780,0,7,48.2,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5575,0016-QLJIS,1,0,43,0,0,1,1,1,ATYNIU1389,Sheridan,95681,"38.984756, -121.345074",38.984756,-121.345074,PYQASYDHS9536,1,3,65,1,28.46,1,1,14,1,1,1,1,1,1,1,1,1,90.45,5957.9,0.0,0,1849.9,7807.799999999999,GZRKYX5821,3,0,25,5509,990233,1,65,90.45,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
