Unnamed: 0,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Value,Churn Score,CLTV,LoyaltyID,Partner,Tenure,Monthly Charges,Churn,Country_United States,State_California,Quarter_Q3,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Customer Status_Churned,Customer Status_Joined,Customer Status_Stayed,Churn Category_Attitude,Churn Category_Competitor,Churn Category_Dissatisfaction,Churn Category_Other,Churn Category_Price,Churn Reason_Attitude of service provider,Churn Reason_Attitude of support person,Churn Reason_Competitor had better devices,Churn Reason_Competitor made better offer,Churn Reason_Competitor offered higher download speeds,Churn Reason_Competitor offered more data,Churn Reason_Deceased,Churn Reason_Don't know,Churn Reason_Extra data charges,Churn Reason_Lack of affordable download/upload speed,Churn Reason_Lack of self-service on Website,Churn Reason_Limited range of services,Churn Reason_Long distance charges,Churn Reason_Moved,Churn Reason_Network reliability,Churn Reason_Poor expertise of online support,Churn Reason_Poor expertise of phone support,Churn Reason_Price too high,Churn Reason_Product dissatisfaction,Churn Reason_Service dissatisfaction,Device Protection_No,Device Protection_No internet service,Device Protection_Yes,Tech Support_No,Tech Support_No internet service,Tech Support_Yes,Lat,Long,SeniorCitizen_Dependents,Tenure_Age_Ratio,AvgMonthlyGB_StreamServices,MonthlyCharge_TotalCharges_Ratio,AvgMonthlyGB_Tenure,Total_Services_Used,Streaming_Services_Count,Internet_Phone_Bundle,Tenure_in_Years,Digital_Payments,Traditional_Payments,Monthly_Charges_Scaled,Revenue_Cluster_Low,Revenue_Cluster_Medium,Revenue_Cluster_High,Refund_to_Charges_Ratio,Extra_Data_Usage_Cost_Proportion,Lifetime_Value_per_Month,Monthly_Charges_18.25-35.5,Monthly_Charges_35.51-70.35,Monthly_Charges_70.36-89.85,Monthly_Charges_89.86-118.75,Lifetime_Value_43-85.918,Lifetime_Value_85.919-137.263,Lifetime_Value_137.264-460.95,Lifetime_Value_460.951-5996
4006,1,0,37,0,0,1,0,0,346,93225,34.827662,-118.999073,1,2,9,1,42.39,0,1,16,0,1,0,1,1,0,0,1,1,65.6,593.3,0.0,0,381.51,974.81,3,0,65,2205,200315,1,9,65.6,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,34.827662,-118.999073,0,0.2432432432432432,16,0.1105680094387325,144,5,1,1,0.75,1,0,787,0,1,0,0.0,0.0,245,0,1,0,0,0,0,1,0
4788,1,1,46,0,0,0,0,0,368,91206,34.162515,-118.203869,0,0,9,1,10.69,1,1,10,0,0,0,0,0,1,1,0,0,59.9,542.4,38.33,10,96.21,610.28,5,0,66,5414,278817,0,9,59.9,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,34.162515,-118.203869,0,0.1956521739130435,20,0.1104351032448377,90,3,2,1,0.75,1,0,718,0,1,0,0.0706674041297935,0.0184365781710914,601,0,1,0,0,0,0,0,1
1901,1,1,50,0,0,0,0,0,222,92627,33.645672,-117.922613,0,0,4,1,33.65,0,1,30,0,0,1,0,0,0,0,1,1,73.9,280.85,0.0,0,134.6,415.4500000000001,1,1,71,4479,192691,0,4,73.9,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33.645672,-117.922613,0,0.08,0,0.2631297845825173,120,4,0,1,0.3333333333333333,1,0,886,1,0,0,0.0,0.0,1119,0,0,1,0,0,0,0,1
395,1,1,78,0,1,1,0,0,587,94553,38.014457,-122.115432,1,1,13,1,27.82,0,1,4,0,1,1,0,1,1,0,1,1,98.0,1237.85,0.0,0,361.66,1599.51,1,1,91,3714,318845,1,13,98.0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,38.014457,-122.115432,0,0.1666666666666666,8,0.0791695278103162,52,6,2,1,1.0833333333333333,1,0,1176,0,1,0,0.0,0.0,285,0,0,0,1,0,0,1,0
368,1,0,75,0,1,1,0,0,139,93010,34.227846,-119.079903,1,3,3,1,7.38,0,1,11,0,0,0,1,1,0,0,1,1,83.9,267.4,0.0,0,22.14,289.53999999999996,1,1,68,3464,508649,1,3,83.9,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,34.227846,-119.079903,0,0.04,11,0.3137621540762902,33,5,1,1,0.25,1,0,1006,1,0,0,0.0,0.0,1154,0,0,1,0,0,0,0,1
3309,1,0,23,1,0,0,1,3,608,95345,37.581496,-119.972762,0,0,9,1,16.77,0,1,73,0,0,0,1,1,1,1,1,1,69.4,571.45,0.0,0,150.93,722.3800000000001,3,0,55,5108,203243,0,9,69.4,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,37.581496,-119.972762,0,0.391304347826087,219,0.1214454457957826,657,7,3,1,0.75,1,0,832,0,1,0,0.0,0.0,567,0,1,0,0,0,0,0,1
707,1,0,67,0,1,1,0,0,546,93437,34.757477,-120.550507,1,1,71,1,9.96,0,1,14,1,1,1,1,1,1,1,1,1,109.7,7904.25,0.0,0,707.1600000000001,8611.41,3,0,26,5011,152486,1,71,109.7,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34.757477,-120.550507,0,1.0597014925373134,42,0.0138786096087547,994,9,3,1,5.916666666666667,1,0,1316,0,0,1,0.0,0.0,70,0,0,0,1,1,0,0,0
4225,1,1,52,0,0,1,0,0,653,94558,38.489789,-122.27011,1,8,63,1,12.96,1,1,7,1,0,0,1,0,0,0,0,1,84.65,5377.8,0.0,20,816.48,6214.280000000001,4,0,49,4604,248461,1,63,84.65,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,38.489789,-122.27011,0,1.2115384615384617,0,0.0157406374353825,441,4,0,1,5.25,1,0,1015,0,0,1,0.0,0.0037189928967235,73,0,0,1,0,1,0,0,0
695,1,0,68,0,1,0,0,0,924,93063,34.296813,-118.685703,0,0,7,1,10.53,0,1,21,1,0,0,0,0,0,0,1,1,48.2,340.35,0.0,0,73.71,414.06,3,0,34,5525,997780,0,7,48.2,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,34.296813,-118.685703,0,0.1029411764705882,0,0.1416189216982518,147,4,0,1,0.5833333333333334,1,0,578,1,0,0,0.0,0.0,789,0,1,0,0,0,0,0,1
5575,1,0,43,0,0,1,1,1,915,95681,38.984756,-121.345074,1,3,65,1,28.46,1,1,14,1,1,1,1,1,1,1,1,1,90.45,5957.9,0.0,0,1849.9,7807.799999999999,3,0,25,5509,990233,1,65,90.45,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,38.984756,-121.345074,0,1.5116279069767442,42,0.0151815236912334,910,9,3,1,5.416666666666667,1,0,1085,0,0,1,0.0,0.0,84,0,0,0,1,1,0,0,0
