Churn,Customer ID
1,0004-TLHLJ
1,0011-IGKFF
1,0013-EXCHZ
0,0013-MHZWF
0,0013-SMEOE
0,0014-BMAQU
0,0015-UOCOJ
0,0017-IUDMW
0,0019-EFAEP
0,0019-GFNTW
0,0020-JDNXP
0,0021-IKXGC
1,0022-TCJCI
1,0023-HGHWL
0,0023-UYUPN
1,0023-XUOPT
0,0027-KWYKW
0,0030-FNXPP
1,0031-PVLZI
1,0032-PGELS
0,0036-IHMOT
0,0040-HALCW
0,0042-JVWOJ
0,0042-RLHYP
0,0048-LUMLS
0,0048-PIHNL
0,0052-DCKON
0,0052-YNYOT
0,0057-QBUQH
0,0058-EVZWM
0,0060-FUALY
0,0064-SUDOG
0,0064-YIJGF
1,0067-DKWBL
0,0071-NDAFP
0,0076-LVEPS
0,0078-XZMHT
0,0080-EMYVY
0,0082-LDZUE
0,0082-OQIQY
0,0089-IIQKO
0,0093-EXYQL
1,0093-XWZFY
0,0096-BXERS
0,0096-FCPUF
0,0098-BOWSO
0,0100-DUVFC
0,0103-CSITQ
0,0104-PPXDV
0,0106-GHRQR
1,0107-WESLM
1,0107-YHINA
0,0111-KLBQG
0,0112-QAWRZ
1,0112-QWPNC
0,0114-PEGZZ
1,0115-TFERT
1,0117-LFRMW
0,0118-JPNOY
0,0121-SNYRK
1,0122-OAHPZ
0,0123-CRBRT
0,0128-MKWSG
0,0129-KPTWJ
0,0130-SXOUN
1,0133-BMFZO
0,0134-XWXCE
1,0135-NMXAP
0,0136-IFMYD
1,0137-OCGAB
1,0137-UDEUO
0,0139-IVFJG
0,0141-YEAYS
0,0142-GVYSN
0,0147-ESWWR
1,0148-DCDOS
1,0156-FVPTA
0,0164-APGRB
0,0164-XAIRP
0,0168-XZKBB
0,0174-QRVVY
0,0177-PXBAT
0,0178-CIIKR
0,0178-SZBHO
0,0186-CAERR
0,0187-QSXOE
0,0188-GWFLE
1,0195-IESCP
0,0196-JTUQI
1,0196-VULGZ
0,0197-PNKNK
0,0201-MIBOL
1,0201-OAMXR
1,0203-HHYIJ
0,0206-OYVOC
0,0206-TBWLC
0,0208-BPQEJ
0,0212-ISBBF
0,0214-JHPFW
0,0215-BQKGS
0,0218-QNVAS
0,0219-QAERP
1,0219-YTZUE
1,0220-EBGCE
0,0221-NAUXK
0,0221-WMXNQ
0,0222-CNVPT
0,0224-NIJLP
0,0224-RLWWD
0,0225-ZORZP
0,0228-MAUWC
0,0229-LFJAF
0,0230-UBYPQ
0,0230-WEQUW
0,0233-FTHAV
0,0234-TEVTT
1,0235-KGSLC
1,0236-HFWSV
0,0237-YFUTL
0,0238-WHBIQ
0,0239-OXEXL
0,0244-LGNFY
0,0247-SLUJI
0,0248-IPDFW
0,0253-ZTEOB
0,0254-FNMCI
0,0254-KCJGT
1,0256-LTHVJ
1,0257-ZESQC
0,0258-NOKBL
1,0259-GBZSH
1,0260-ZDLGK
0,0263-FJTQO
0,0264-CNITK
1,0265-EDXBD
0,0265-PSUAE
0,0266-CLZKZ
1,0268-QKIWO
0,0269-XFESX
0,0274-JKUJR
0,0277-BKSQP
0,0277-ORXQS
1,0278-YXOOG
1,0280-XJGEX
0,0281-CNTZX
0,0282-NVSJS
0,0285-INHLN
0,0289-IVARM
0,0292-WEGCH
0,0295-QVKPB
0,0297-RBCSG
0,0298-XACET
0,0301-FIDRB
0,0301-KOBTQ
1,0302-JOIVN
0,0303-WMMRN
0,0305-SQECB
1,0306-JAELE
0,0307-BCOPK
0,0308-GIQJT
0,0308-IVGOK
1,0310-MVLET
0,0311-QYWSS
0,0314-TKOSI
0,0315-LVCRK
1,0318-QUUOB
0,0318-ZOPWS
0,0319-QZTCO
0,0320-DWVTU
1,0320-JDNQG
1,0322-CHQRU
1,0322-YINQP
0,0323-XWWTN
1,0324-BRPCJ
1,0325-XBFAC
0,0326-VDYXE
1,0328-GRPMV
1,0329-GTIAJ
0,0330-BGYZE
1,0334-GDDSO
0,0336-KXKFK
0,0336-PIKEI
1,0337-CNPZE
0,0343-QLUZP
1,0345-HKJVM
0,0345-XMMUG
0,0347-UBKUZ
1,0348-SDKOL
0,0354-VXMJC
1,0354-WYROK
0,0356-ERHVT
0,0356-OBMAC
0,0357-NVCRI
0,0361-HJRDX
0,0362-RAOQO
1,0362-ZBZWJ
1,0363-QJVFX
0,0363-SVHYR
0,0365-BZUWY
0,0365-GXEZS
0,0366-NQSHS
0,0369-ZGOVK
0,0374-FIUCA
0,0374-IOEGQ
0,0376-OIWME
1,0376-YMCJC
0,0377-JBKKT
0,0378-CJKPV
1,0378-NHQXU
1,0378-XSZPU
0,0379-DJQHR
